Image type,Feature Class,Feature Name,Segmentation_segment_IPH,Segmentation_segment_IPH_lipid,Segmentation_segment_Fibrous,Segmentation_segment_Calcium
log-sigma-1-0-mm-3D,glszm,SmallAreaLowGrayLevelEmphasis,0.050865024,0.027254946,0.020143494,0.077915542
log-sigma-1-0-mm-3D,glszm,ZoneEntropy,4.281397348,4.755900421,5.008443927,3.576617645
log-sigma-1-0-mm-3D,glszm,ZonePercentage,0.284722222,0.173850575,0.183383234,0.791666667
log-sigma-1-0-mm-3D,glszm,ZoneVariance,22.44497323,216.9798511,299.1620825,0.193905817
log-sigma-1-0-mm-3D,ngtdm,Busyness,1.110449962,1.509775738,1.850294118,0.113612814
log-sigma-1-0-mm-3D,ngtdm,Coarseness,0.031768046,0.013725827,0.005741197,0.13734966
log-sigma-1-0-mm-3D,ngtdm,Complexity,9.170333587,12.35124344,24.79770635,117.7813662
log-sigma-1-0-mm-3D,ngtdm,Contrast,0.024104064,0.017196456,0.01178912,0.541848073
log-sigma-1-0-mm-3D,ngtdm,Strength,0.563983321,0.341715358,0.296099413,9.351482449
log-sigma-3-0-mm-3D,firstorder,10Percentile,-30.01932602,-44.16329193,-70.55251312,-88.75810623
log-sigma-3-0-mm-3D,firstorder,90Percentile,41.34078445,42.57330894,12.21982098,1.892478848
log-sigma-3-0-mm-3D,firstorder,Energy,233685.2489,738796.5362,2669187.335,65183.7646
log-sigma-3-0-mm-3D,firstorder,Entropy,2.191352423,2.408275765,2.40414765,1.979573959
log-sigma-3-0-mm-3D,firstorder,InterquartileRange,43.72963881,53.28083515,46.92342377,45.62414455
log-sigma-3-0-mm-3D,firstorder,Kurtosis,2.169775643,2.072077898,2.608955575,2.817272232
log-sigma-3-0-mm-3D,firstorder,Maximum,58.78856659,64.1541748,60.31169128,9.76142025
log-sigma-3-0-mm-3D,firstorder,MeanAbsoluteDeviation,23.20493175,27.47740312,26.33452736,32.025471
log-sigma-3-0-mm-3D,firstorder,Mean,7.238959185,-2.142439115,-31.25729272,-34.72681518
log-sigma-3-0-mm-3D,firstorder,Median,6.922800064,-4.34792614,-33.37085533,-19.38877201
log-sigma-3-0-mm-3D,firstorder,Minimum,-55.87428665,-80.60969543,-119.2361526,-124.1952133
log-sigma-3-0-mm-3D,firstorder,Range,114.6628532,144.7638702,179.5478439,133.9566336
log-sigma-3-0-mm-3D,firstorder,RobustMeanAbsoluteDeviation,17.63561989,21.09008503,19.26890649,21.04532687
log-sigma-3-0-mm-3D,firstorder,RootMeanSquared,28.48520869,32.58050454,44.69781551,52.11516278
